p,T_sat,h_bubble,h_dew,d_bubble,d_dew
11812.959999999992,90.77142800169159,-71559.4656402416,472594.08695323515,451.37229244128787,0.2530486145657945
12545.894430675226,91.24255684146286,-69971.12009880316,473515.1328563463,450.74526522150745,0.26745506151065945
13324.303736374917,91.71900648842127,-68364.00043735004,474444.5076028285,450.1101027325549,0.28267723507576886
14151.009403131078,92.20086895469548,-66737.73596950609,475382.2713135699,449.46663065189665,0.298761159884877
15029.007975915865,92.68823831296449,-65091.94711904226,476328.4820345074,448.81466960348433,0.3157554605584786
15961.481920163662,93.18121074910258,-63426.245121620224,477283.19553074235,448.15403496785893,0.33371151028669355
16951.811157195516,93.67988461621535,-61740.231714272406,478246.46506699285,447.48453668341824,0.35268358815835316
18003.585315358516,94.18436049009973,-60033.498811945894,479218.34117348137,446.8059790383413,0.37272904579564625
19120.61674128608,94.69474122615969,-58305.628170481104,480198.8713962942,446.1181604526338,0.39390848388184224
20306.95431844146,95.211132017811,-56556.191035325326,481188.1000311769,445.4208732497131,0.4162859392109241
21566.898143031984,95.73364045640724,-54784.74777517881,482186.0678396593,444.7139034169219,0.439929082932493
22905.015110489247,96.26237659272003,-52990.847499835625,483192.81174631685,443.9970303543038,0.46490943071357327
24326.155469011926,96.79745300000586,-51174.027661310494,484208.3645158951,443.27002661093536,0.49130256559114477
25835.470400172017,97.33898483869203,-49333.81363736486,485232.75440892106,442.5326576080503,0.5191883743458104
27438.430690309033,97.88708992271388,-47469.71829645563,486266.0048143326,441.78468134814244,0.5486512982884056
29140.846560389313,98.44188878753445,-45581.24154304819,487308.133857536,441.0258481091646,0.5797805994179466
30948.888726208323,99.00350475987814,-43667.86984221543,488359.15398219245,440.2559001228813,0.6126706429818113
32869.11076527168,99.57206402920835,-41729.075722282236,489419.0715038955,439.4745712363534,0.6474211975477884
34908.47287142845,100.14769572097867,-39764.31725428076,490487.88613376924,438.68158655545955,0.6841377537834885
37074.367083358586,100.73053197168558,-37773.037506816836,491565.59046985494,437.87666206926815,0.7229318632321418
39374.644078361125,101.3207080057501,-35754.66397489278,492652.1694539971,437.0595042539798,0.7639214984759947
41817.64162856138,101.91836221425355,-33708.60798109476,493747.5997917533,436.22980965505747,0.8072314361900463
44412.214822681286,102.5236362355509,-31634.26404744671,494851.8493326587,435.3872644460463,0.8529936647109867
47167.76816291836,103.13667503778368,-29531.009236108624,495964.8764079596,434.53154396245924,0.9013478178798974
50094.289653273874,103.75762700331114,-27398.202456918552,497086.6291227015,433.66231220897174,0.9524416370638877
53202.38700288841,104.3866440150758,-25235.183739677275,498217.0445987961,432.7792213380077,1.0064314634227745
56503.3260756124,105.02388154491672,-23041.273468861706,499356.0481654191,431.8819110976452,1.0634827626639507
60009.07172517734,105.66949874384062,-20815.771578261094,500503.55249278445,430.9700082465766,1.123770684723357
63732.33116398372,106.32365853425512,-18557.956702855477,501659.4566650009,430.0431259336593,1.1874806610250814
67686.6000227016,106.98652770416486,-16267.085285013225,502823.6451873596,429.10086303937067,1.2548090422090945
71886.21126763776,107.65827700332646,-13942.390631834543,503995.98692299,428.14280347621985,1.3259637794785901
76346.38715317736,108.33908124135164,-11583.08192014821,505176.3339533863,427.168515444921,1.4011651530082396
81083.29439761273,109.02911938774095,-9188.343145482124,506364.52035681036,426.1775506427907,1.4806465511759195
86114.10278235175,109.72857467382302,-6757.3320108158905,507560.3608980436,425.1694434205188,1.5646553047371776
91457.0473869123,110.43763469656685,-4289.178750746047,508763.64962236176,424.14370988307206,1.653453580458488
97131.49468528328,111.15649152422289,-1782.984886089109,509974.15834594663,423.0998469300672,1.7473193391667121
103158.01274322919,111.88534180374012,762.1780963954864,511191.6350342188,422.03733123048283,1.8465473636652336
109558.44577098406,112.62438686989321,3347.270144992909,512415.8020587564,420.95561812602784,1.9514503625175388
116355.99330156209,113.37383285604015,5973.284131260627,513646.35432256473,419.8541404569308,2.0623601563154765
123575.29428168324,114.13389080641632,8641.247432482527,514882.9572424447,418.73230730320404,2.1796289537404125
131242.5163801133,114.90477678985265,11352.22361626636,516125.2445760787,417.58950263371446,2.3036307255019173
139385.45083713706,115.6867120147877,14107.314235803484,517372.8160801867,416.42508385452726,2.4347626851127395
148033.61319896037,116.47992294542057,16907.660745421814,518625.234984676,415.23838024705896,2.5734468864444846
157218.35030217396,117.28464141882813,19754.446546907035,519882.02526611043,414.02869128544785,2.7201319491226417
166972.95389605928,118.10110476284203,22648.899178393247,521142.668702011,412.7952848213839,2.8752949240816243
177332.78131458658,118.92955591445053,25592.29265879695,522406.601685454,411.5373951231838,3.0394433130328777
188335.38363550042,119.77024353845513,28585.950002364854,523673.2117771122,410.254220754343,3.2131172572290656
200020.64179102515,120.62342214607179,31631.245919534224,524941.8339692397,408.9449222749879,3.3968919127659944
212430.91112355443,121.48935221312334,34729.60972229811,526211.7466330901,407.6086197475454,3.5913800317891167
225611.17491029066,122.36830029741749,37882.52845438678,527482.1671178146,406.2443900255932,3.7972347714068873
239609.2074133081,123.26053915484735,41091.550269211875,528752.2469649336,404.8512638021149,4.015152754912418
254475.7470460519,124.16634785368821,44358.288081352315,530021.0666979258,403.4282223902171,4.245877413140991
270264.68028394086,125.08601188648657,47684.42352073782,531287.6301412488,401.9741942057407,4.490202637518363
287033.2369856928,126.01982327885297,51071.71122253898,532550.8582170081,400.4880509169602,4.748976780676003
304842.19783335325,126.96808069437401,54521.98349029359,533809.5821604667,398.968603221677,5.023107045534734
323756.11464292306,127.93108953474663,58037.15537494876,535062.5360873601,397.4145962062681,5.313564309618962
343843.544344152,128.9091620341061,61619.23021864521,536308.3488363721,395.82470423458375,5.621388438223719
365177.29747759487,129.9026173463731,65270.30571911086,537545.5349988648,394.1975253067402,5.947694148115444
387834.7021096483,130.91178162427414,68992.58057896393,538772.4850346782,392.53157481860677,6.293677492947213
411897.88412218576,131.93698808848893,72788.36181402589,539987.4543571279,390.8252786418724,6.660623052811341
437454.0648927486,132.97857708514536,76660.07280641152,541188.5512516889,389.0769654316421,7.049911923710028
464595.8774442797,134.03689612961412,80610.26220206148,542373.7234706756,387.28485805308344,7.4630306186637245
493421.70221035625,135.11229993424115,84641.61376893712,543540.7433196434,385.44706400020135,7.90158101128015
524036.0236329593,136.2051504172784,88756.95735193859,544687.1910192865,383.56156465764803,8.367291475603276
556549.8088853209,137.31581668984128,92959.28108462841,545810.4360880177,381.6262032297211,8.862029403888465
591080.9100926197,138.44467501720152,97251.74504684916,546907.6164435478,379.63867112819344,9.387815317784916
627754.4915084321,139.5921087501067,101637.69659280559,547975.6148645884,377.5964925709427,9.94683882977107
666703.4831953199,140.75850822109103,106120.68761762377,549011.0323836168,375.4970070946422,10.54147676255044
708069.0628540132,141.94427059985549,110704.49408408266,550010.1580950009,373.3373496245392,11.174313797014777
752001.1675476423,143.1497997007441,115393.13819794734,550968.9347551744,371.114427669375,11.84816609767734
798659.0371758831,144.37550573406742,120190.91370394807,551882.9194170266,368.82489511552257,12.56610846258208
848211.7916689261,145.62180499147158,125102.4148799647,552747.2381713135,366.4651219755799,13.331505668490436
900839.0439933973,146.88911945365948,130132.5699413432,553556.5338530932,364.0311592952375,14.148048839553413
956731.5511922112,148.17787630644926,135286.67973989405,554304.9052965982,361.5186982273559,15.019797869427062
1016091.9058181557,149.48850734829182,140570.46286595942,554985.8363679269,358.92302202912714,15.951231187613017
1079135.270267417,150.82144826881506,145990.10855524946,555592.1125443021,356.2389494060124,16.94730450110799
1146090.1566748023,152.17713777352026,151552.33919041484,556115.722203444,353.4607671854836,18.013520590851126
1217199.2551975236,153.5560165241841,157264.4847073471,556547.7389829815,350.5821497121622,19.156012839636304
1292720.3136897632,154.95852585746545,163134.57192075247,556878.1804905011,347.5960615527815,20.381645972645156
1372927.0719566597,156.38510623520023,169171.43274988458,557095.8371770859,344.49463899492906,21.69813858908864
1458110.2539739672,157.8361953683166,175384.83666852306,557188.0631642474,341.2690442847216,23.11421358069168
1548578.6216699632,159.3122259412317,181785.65459530556,557140.5179843716,337.90928437563315,24.639784661763038
1644660.0940891972,160.813622843831,188386.06414556337,556936.8441720161,334.4039828475936,26.286190272007605
1746702.935994659,162.34079979173436,195199.8100942941,556558.2598215141,330.7400891268993,28.066490521820946
1855077.0202167304,163.8941551797471,202242.53970586267,555983.0366326581,326.90250243816416,29.995849378723985
1970175.168324509,165.4740669637433,209532.24133772525,555185.8209985346,322.8735778207262,32.0920341782689
2092414.5744789704,167.08088629565518,217089.82822287807,554136.7356325733,318.6324659826127,34.37607988276
2222238.317629058,168.71492953290578,224939.93072327328,552800.1673336275,314.1542141637905,36.87318999152111
2360116.9675318887,170.37646808730847,233111.99535272762,551133.0941248996,309.4085150427546,39.613986335674
2506550.290418358,172.0657153334762,241641.84843874892,549082.7158636617,304.3579226840881,42.63628890133172
2662069.060486703,173.782809398606,250573.98848854096,546582.9941414437,298.955233725563,45.98772967842759
2827236.983790096,175.5277899837936,259965.07132438404,543549.4119781115,293.1395052798644,49.72973476816508
3002652.741491645,177.30056618891925,269889.4537313361,539870.6792034982,286.8297266823878,53.94386700549494
3188952.159893181,179.10087015313263,280448.5312800754,535394.8654158134,279.91417901730506,58.74250137571239
3386810.5151032107,180.928187125193,291787.66827447206,529904.544065991,272.2311851348095,64.28810280198455
